player;nationality;position;squad;age;birth_year;value;height;position2;foot;league;games;games_starts;minutes;goals;assists;pens_made;pens_att;goals_per90;assists_per90;goals_assists_per90;goals_pens_per90;goals_assists_pens_per90;shots_total;shots_on_target;shots_free_kicks;shots_on_target_pct;shots_total_per90;shots_on_target_per90;goals_per_shot;goals_per_shot_on_target;passes;passes_pct;passes_total_distance;passes_progressive_distance;blocks;blocked_shots;blocked_shots_saves;blocked_passes;interceptions;touches;dribbles_completed;dribbles;dribbles_completed_pct;LigaRk;CL;WinCL;Season
Leon Clarke;ENG;FW,MF;Sheffield Utd;34;1985;$ 30.000,00;188;Forward - Centre-Forward;right;Premier League;2;0;35;0;0;0;0;0;0;0;0;0;1;0;0;0;2,57;0;0;0;7;71,4;73;7;0;0;0;0;0;11;0;0;0;9;0;0;201920#
John Egan;IRL;DF;Sheffield Utd;26;1992;$ 13.000.000,00;185;Defender - Centre-Back;right;Premier League;36;36;3187;2;0;0;0;0,06;0;0,06;0,06;0,06;28;5;0;17,9;0,79;0,14;0,07;0,4;1213;83,8;24150;6505;73;33;0;40;26;1670;3;3;100;9;0;0;201920#
John Fleck;SCO;MF;Sheffield Utd;27;1991;$ 6.000.000,00;169;Midfielder - Central Midfield;left;Premier League;30;28;2516;5;2;0;0;0,18;0,07;0,25;0,18;0,25;32;12;0;37,5;1,14;0,43;0,16;0,42;1164;73,4;15206;4966;44;3;0;41;20;1406;43;62;69,4;9;0;0;201920#
Kieron Freeman;WAL;FW;Sheffield Utd;27;1992;$ 1.000.000,00;178;Defender - Right-Back;right;Premier League;2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;100;28;6;0;0;0;0;0;3;0;0;0;9;0;0;201920#
Luke Freeman;ENG;MF;Sheffield Utd;27;1992;$ 2.000.000,00;176;Midfielder - Attacking Midfield;left;Premier League;11;3;366;0;0;0;0;0;0;0;0;0;3;0;0;0;0,74;0;0;0;150;73,3;1582;484;9;0;0;9;7;204;7;8;87,5;9;0;0;201920#
Phil Jagielka;ENG;DF;Sheffield Utd;36;1982;$ 80.000,00;180;Defender - Centre-Back;right;Premier League;6;2;244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;80,8;1223;349;9;5;0;4;2;117;0;0;0;9;0;0;201920#
John Lundstram;ENG;MF;Sheffield Utd;25;1994;$ 8.000.000,00;181;Midfielder - Central Midfield;left;Premier League;34;26;2458;5;3;0;0;0,18;0,11;0,29;0,18;0,29;44;11;0;25;1,61;0,4;0,11;0,45;1202;80,4;18422;3847;29;4;0;25;18;1488;17;34;50;9;0;0;201920#
Oliver McBurnie;SCO;FW;Sheffield Utd;23;1996;$ 8.000.000,00;188;Forward - Centre-Forward;right;Premier League;36;24;2113;6;0;0;0;0,26;0;0,26;0,26;0,26;49;24;0;49;2,09;1,02;0,12;0,25;629;64,5;5901;1565;33;3;0;30;7;933;25;44;56,8;9;0;0;201920#
David McGoldrick;IRL;FW;Sheffield Utd;31;1987;$ 1.000.000,00;184;Forward - Centre-Forward;right;Premier League;28;22;1815;2;2;0;0;0,1;0,1;0,2;0,1;0,2;46;19;0;41,3;2,28;0,94;0,04;0,11;623;76,2;7903;1290;20;3;1;17;3;895;31;47;66;9;0;0;201920#
Ravel Morrison;JAM;MF;Sheffield Utd;26;1993;$ 60.000,00;175;Midfielder - Attacking Midfield;right;Premier League;1;0;13;0;0;0;0;0;0;0;0;0;1;0;0;0;6,92;0;0;0;6;66,7;53;30;0;0;0;0;0;8;0;0;0;9;0;0;201920#
Lys Mousset;FRA;FW;Sheffield Utd;23;1996;$ 9.000.000,00;184;Forward - Centre-Forward;right;Premier League;30;11;1240;6;4;0;0;0,44;0,29;0,73;0,44;0,73;35;9;0;25,7;2,54;0,65;0,17;0,67;239;73,6;2351;391;10;3;0;7;4;431;34;53;64,2;9;0;0;201920#
Oliver Norwood;NIR;MF;Sheffield Utd;28;1991;$ 6.000.000,00;175;Midfielder - Central Midfield;right;Premier League;38;37;3090;1;1;1;1;0,03;0,03;0,06;0;0,03;16;5;4;31,3;0,47;0,15;0;0;2148;77,5;38895;11305;46;13;0;33;30;2410;15;17;88,2;9;0;0;201920#
Jack O'Connell;ENG;DF;Sheffield Utd;25;1994;$ 9.000.000,00;191;Defender - Centre-Back;left;Premier League;33;32;2916;0;1;0;0;0;0,03;0,03;0;0,03;16;2;0;12,5;0,49;0,06;0;0;1555;74,3;24608;9774;75;21;0;54;35;1964;8;13;61,5;9;0;0;201920#
Ben Osborn;ENG;MF,DF;Sheffield Utd;24;1994;$ 2.000.000,00;176;Midfielder - Left Midfield;left;Premier League;13;6;594;0;0;0;0;0;0;0;0;0;3;1;0;33,3;0,45;0,15;0;0;259;69,1;2907;738;17;1;0;16;3;323;3;6;50;9;0;0;201920#
Callum Robinson;IRL;FW;Sheffield Utd;24;1995;$ 5.000.000,00;178;Forward - Left Winger;right;Premier League;16;9;676;1;1;0;0;0,13;0,13;0,27;0,13;0,27;13;3;0;23,1;1,73;0,4;0,08;0,33;155;75,5;1787;294;4;0;0;4;3;230;7;15;46,7;9;0;0;201920#
Jack Robinson;ENG;DF;Sheffield Utd;25;1993;$ 2.000.000,00;180;Defender - Left-Back;left;Premier League;6;6;504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;257;75,1;3937;1461;15;5;0;10;2;332;2;2;100;9;0;0;201920#
Jack Rodwell;ENG;MF;Sheffield Utd;28;1991;$ 1.000.000,00;188;Midfielder - Defensive Midfield;right;Premier League;1;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;100;40;4;0;0;0;0;0;3;0;0;0;9;0;0;201920#
Billy Sharp;ENG;FW;Sheffield Utd;33;1986;$ 1.000.000,00;175;Forward - Centre-Forward;right;Premier League;25;10;1051;3;2;0;0;0,26;0,17;0,43;0,26;0,43;14;5;0;35,7;1,2;0,43;0,21;0,6;222;73;2388;484;4;0;0;4;1;334;13;20;65;9;0;0;201920#
Enda Stevens;IRL;DF;Sheffield Utd;29;1990;$ 5.000.000,00;183;Defender - Left-Back;left;Premier League;38;38;3345;2;4;0;0;0,05;0,11;0,16;0,05;0,16;22;4;0;18,2;0,59;0,11;0,09;0,5;1895;74,1;24266;9869;76;6;0;70;24;2300;62;87;71,3;9;0;0;201920#
Richairo Zivkovic;NED;FW;Sheffield Utd;22;1996;$ 650,00;187;Forward - Centre-Forward;right;Premier League;5;0;112;0;0;0;0;0;0;0;0;0;1;0;0;0;0,8;0;0;0;18;88,9;242;25;1;0;0;1;0;31;1;3;33,3;9;0;0;201920#
Che Adams;ENG;FW;Southampton;23;1996;$ 12.000.000,00;179;Forward - Centre-Forward;right;Premier League;30;12;1111;4;2;0;0;0,32;0,16;0,49;0,32;0,49;37;9;0;24,3;3;0,73;0,11;0,44;265;69,4;2931;631;10;1;0;9;3;441;15;27;55,6;11;0;0;201920#
Stuart Armstrong;SCO;MF;Southampton;27;1992;$ 6.000.000,00;183;Midfielder - Central Midfield;right;Premier League;30;19;1715;5;3;0;0;0,26;0,16;0,42;0,26;0,42;46;19;0;41,3;2,41;1;0,11;0,26;612;76,1;7275;2375;24;5;0;19;9;882;31;53;58,5;11;0;0;201920#
Jan Bednarek;POL;DF;Southampton;23;1996;$ 12.000.000,00;189;Defender - Centre-Back;right;Premier League;34;34;3057;1;1;0;0;0,03;0,03;0,06;0,03;0,06;7;1;0;14,3;0,21;0,03;0,14;1;1434;79,7;23194;7627;61;26;0;35;44;1939;2;2;100;11;0;0;201920#
Ryan Bertrand;ENG;DF;Southampton;29;1989;$ 10.000.000,00;179;Defender - Left-Back;left;Premier League;32;31;2742;1;1;0;0;0,03;0,03;0,07;0,03;0,07;19;4;1;21,1;0,62;0,13;0,05;0,25;1656;75,1;20910;8998;52;13;0;39;26;1984;8;26;30,8;11;0;0;201920#
Sofiane Boufal;MAR;MF,FW;Southampton;25;1993;$ 8.000.000,00;175;Forward - Left Winger;right;Premier League;20;8;764;0;2;0;0;0;0,24;0,24;0;0,24;21;7;0;33,3;2,47;0,82;0;0;325;76;3764;1068;17;0;0;17;5;515;54;96;56,3;11;0;0;201920#
Kevin Danso;AUT;DF;Southampton;20;1998;$ 6.000.000,00;190;Defender - Centre-Back;right;Premier League;6;3;277;0;1;0;0;0;0,32;0,32;0;0,32;1;0;0;0;0,32;0;0;0;159;72,3;2051;905;9;4;0;5;2;206;3;6;50;11;0;0;201920#
Moussa Djenepo;MLI;MF,DF;Southampton;21;1998;$ 11.000.000,00;177;Forward - Left Winger;right;Premier League;18;10;928;2;2;0;0;0,19;0,19;0,39;0,19;0,39;20;7;0;35;1,94;0,68;0,1;0,29;264;72,3;2738;896;24;2;0;22;7;468;48;70;68,6;11;0;0;201920#
Pierre Hojbjerg;DEN;MF;Southampton;23;1995;$ 25.000.000,00;185;Midfielder - Defensive Midfield;right;Premier League;33;30;2752;0;1;0;0;0;0,03;0,03;0;0,03;47;10;0;21,3;1,54;0,33;0;0;1810;78,1;26873;6921;63;6;0;57;42;2214;41;55;74,5;11;0;0;201920#
Danny Ings;ENG;FW;Southampton;27;1992;$ 17.000.000,00;178;Forward - Centre-Forward;right;Premier League;38;32;2804;22;2;1;2;0,71;0,06;0,77;0,67;0,74;90;35;0;38,9;2,89;1,12;0,23;0,6;678;64,5;6768;1798;64;5;0;59;7;1115;57;93;61,3;11;0;0;201920#
Shane Long;IRL;FW;Southampton;32;1987;$ 2.000.000,00;180;Forward - Centre-Forward;both;Premier League;26;15;1395;2;2;0;0;0,13;0,13;0,26;0,13;0,26;33;13;0;39,4;2,13;0,84;0,06;0,15;405;55,8;2946;786;18;4;0;14;2;611;8;18;44,4;11;0;0;201920#
Michael Obafemi;IRL;FW;Southampton;19;2000;$ 4.000.000,00;170;Forward - Centre-Forward;right;Premier League;21;8;665;3;2;0;0;0,41;0,27;0,68;0,41;0,68;12;4;0;33,3;1,62;0,54;0,25;0,75;144;77,8;1435;216;4;1;0;3;6;238;18;31;58,1;11;0;0;201920#
Nathan Redmond;ENG;MF,FW;Southampton;25;1994;$ 16.000.000,00;173;Forward - Left Winger;right;Premier League;32;32;2762;4;4;0;0;0,13;0,13;0,26;0,13;0,26;59;21;2;35,6;1,92;0,68;0,07;0,19;1061;73,6;13249;3058;39;2;0;37;14;1443;90;146;61,6;11;0;0;201920#
Oriol Romeu;ESP;MF;Southampton;27;1991;$ 8.000.000,00;183;Midfielder - Defensive Midfield;right;Premier League;30;20;1860;0;0;0;0;0;0;0;0;0;9;0;0;0;0,44;0;0;0;1038;83,4;16423;4007;58;15;0;43;21;1261;13;16;81,3;11;0;0;201920#
William Smallbone;IRL;MF;Southampton;19;2000;$ 3.000.000,00;173;Midfielder - Central Midfield;right;Premier League;9;4;393;0;2;0;0;0;0,46;0,46;0;0,46;5;0;0;0;1,15;0;0;0;210;83,3;3121;666;10;1;0;9;1;251;2;4;50;11;0;0;201920#
CÈdric Soares;POR;DF;Southampton;27;1991;$ 8.000.000,00;171;Defender - Right-Back;right;Premier League;16;16;1306;0;1;0;0;0;0,07;0,07;0;0,07;10;4;0;40;0,69;0,28;0;0;724;72,1;9107;4209;37;4;0;33;16;910;3;7;42,9;11;0;0;201920#
Jack Stephens;ENG;DF;Southampton;25;1994;$ 5.000.000,00;185;Defender - Centre-Back;right;Premier League;28;27;2451;1;3;0;0;0,04;0,11;0,15;0,04;0,15;6;1;0;16,7;0,22;0,04;0,17;1;1199;75,6;20755;7435;60;26;0;34;18;1545;8;12;66,7;11;0;0;201920#
Nathan Tella;ENG;FW;Southampton;20;1999;$ 750,00;173;Forward - Right Winger;right;Premier League;1;0;3;0;0;0;0;0;0;0;0;0;1;1;0;100;30;30;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;11;0;0;201920#
Yan Valery;FRA;DF;Southampton;20;1999;$ 6.000.000,00;180;Defender - Right-Back;right;Premier League;11;10;779;0;0;0;0;0;0;0;0;0;3;2;0;66,7;0,35;0,23;0;0;318;62,3;3321;1248;19;2;0;17;11;455;12;25;48;11;0;0;201920#
Jannik Vestergaard;DEN;DF;Southampton;26;1992;$ 12.000.000,00;199;Defender - Centre-Back;both;Premier League;19;17;1497;1;0;0;0;0,06;0;0,06;0,06;0,06;10;5;0;50;0,6;0,3;0,1;0,2;799;80,2;12898;4176;22;9;0;13;11;1040;3;5;60;11;0;0;201920#
Jake Vokins;ENG;DF;Southampton;19;2000;$ 250,00;180;Defender - Left-Back;left;Premier League;1;1;90;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;73;82,2;958;340;1;0;0;1;0;82;0;0;0;11;0;0;201920#
Kyle Walker-Peters;ENG;DF;Southampton;22;1997;$ 8.000.000,00;173;Defender - Right-Back;right;Premier League;10;7;703;0;0;0;0;0;0;0;0;0;2;0;0;0;0,26;0;0;0;436;77,3;5293;1548;24;3;0;21;9;536;20;23;87;11;0;0;201920#
James Ward-Prowse;ENG;MF,DF;Southampton;24;1994;$ 14.000.000,00;177;Midfielder - Central Midfield;right;Premier League;38;38;3420;5;3;1;3;0,13;0,08;0,21;0,11;0,18;54;23;24;42,6;1,42;0,61;0,07;0,17;1971;74;27761;8432;67;14;0;53;36;2399;15;21;71,4;11;0;0;201920#
Maya Yoshida;JPN;DF;Southampton;30;1988;$ 4.000.000,00;189;Defender - Centre-Back;right;Premier League;8;6;560;0;0;0;0;0;0;0;0;0;4;3;0;75;0,64;0,48;0;0;247;83,8;4037;1319;11;4;0;7;5;317;1;1;100;11;0;0;201920#
Kevin Bonifazi;ITA;DF;SPAL;23;1996;$ 4.000.000,00;187;Defender - Centre-Back;right;Serie A;14;13;1191;1;0;0;0;0,08;0;0,08;0,08;0,08;5;1;0;20;0,38;0,08;0,2;1;671;85,7;11478;3769;28;12;0;16;10;803;13;15;86,7;20;0;0;201920#
Lucas Castro;ARG;MF;SPAL;30;1989;$ 3.000.000,00;182;Midfielder - Central Midfield;right;Serie A;7;6;425;0;0;0;0;0;0;0;0;0;10;2;0;20;2,12;0,42;0;0;213;77,9;2727;771;6;0;0;6;1;278;6;11;54,5;20;0;0;201920#
Alberto Cerri;ITA;FW;SPAL;23;1996;$ 3.000.000,00;194;Forward - Centre-Forward;right;Serie A;8;5;420;1;0;0;0;0,21;0;0,21;0,21;0,21;10;4;0;40;2,14;0,86;0,1;0,25;144;65,3;1456;243;1;0;0;1;1;189;9;12;75;20;0;0;201920#
Thiago Cionek;POL;DF;SPAL;33;1986;$ 47.500,00;183;Defender - Centre-Back;right;Serie A;28;23;2169;0;1;0;0;0;0,04;0,04;0;0,04;11;2;0;18,2;0,46;0,08;0;0;1360;75,7;18355;7979;49;13;0;36;23;1643;9;14;64,3;20;0;0;201920#
Jaume CuÈllar;BOL;FW,MF;SPAL;17;2001;$ 10.000,00;182;Forward - Second Striker;both;Serie A;2;1;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;87,5;232;14;1;0;0;1;0;24;2;2;100;20;0;0;201920#
Marco D'Alessandro;ITA;MF,DF;SPAL;28;1991;$ 1.000.000,00;173;Midfielder - Right Midfield;right;Serie A;15;10;781;2;0;0;0;0,23;0;0,23;0,23;0,23;6;3;0;50;0,69;0,35;0,33;0,67;259;73,7;2862;827;12;0;0;12;5;352;18;27;66,7;20;0;0;201920#
Bryan Dabo;BFA;MF;SPAL;27;1992;$ 2.000.000,00;187;Midfielder - Central Midfield;right;Serie A;16;13;1122;1;4;0;0;0,08;0,32;0,4;0,08;0,4;8;3;0;37,5;0,64;0,24;0,13;0,33;578;86,5;8396;1886;17;3;0;14;8;700;12;23;52,2;20;0;0;201920#
Felipe dal Belo;BRA;DF;SPAL;35;1984;$ 300,00;188;Defender - Centre-Back;left;Serie A;15;11;997;0;0;0;0;0;0;0;0;0;6;2;0;33,3;0,54;0,18;0;0;467;83,3;8320;3278;21;12;0;9;7;556;2;4;50;20;0;0;201920#
Federico Di Francesco;ITA;FW;SPAL;25;1994;$ 4.000.000,00;171;Forward - Left Winger;right;Serie A;20;13;1082;2;0;0;0;0,17;0;0,17;0,17;0,17;23;8;1;34,8;1,91;0,67;0,09;0,25;346;76,3;4256;1065;13;3;0;10;4;478;16;28;57,1;20;0;0;201920#
Espeto;BRA;DF,MF;SPAL;22;1997;$ 3.000.000,00;168;Midfielder - Right Midfield;right;Serie A;32;24;2110;1;2;0;0;0,04;0,09;0,13;0,04;0,13;53;11;0;20,8;2,26;0,47;0,02;0,09;870;78,2;10971;3508;44;3;0;41;12;1228;53;86;61,6;20;0;0;201920#
Mohamed Fares;ALG;DF,MF;SPAL;23;1996;$ 4.000.000,00;183;Midfielder - Left Midfield;left;Serie A;8;5;421;0;0;0;0;0;0;0;0;0;6;1;0;16,7;1,28;0,21;0;0;201;68,7;2449;880;7;2;0;5;3;262;5;8;62,5;20;0;0;201920#
Sergio Floccari;ITA;FW;SPAL;37;1981;$ 30.000,00;180;Forward - Centre-Forward;right;Serie A;24;9;942;1;0;0;0;0,1;0;0,1;0,1;0,1;17;5;0;29,4;1,62;0,48;0,06;0,2;261;78,9;3155;383;11;1;0;10;5;365;14;24;58,3;20;0;0;201920#
Krisztofer Horv·th;HUN;FW,DF;SPAL;17;2002;$ 5.000,00;172;Midfielder - Attacking Midfield;right;Serie A;3;0;44;0;0;0;0;0;0;0;0;0;1;0;0;0;2,05;0;0;0;16;75;229;45;1;0;0;1;0;23;1;3;33,3;20;0;0;201920#
Igor;BRA;DF;SPAL;21;1998;$ 5.000.000,00;185;Defender - Centre-Back;left;Serie A;17;15;1337;0;1;0;0;0;0,07;0,07;0;0,07;4;1;0;25;0,27;0,07;0;0;667;84;11259;3911;34;9;0;25;14;826;13;15;86,7;20;0;0;201920#
Marko Jankovic;MNE;MF,DF;SPAL;24;1995;$ 800,00;172;Forward - Right Winger;left;Serie A;6;1;115;0;0;0;0;0;0;0;0;0;1;0;0;0;0,78;0;0;0;59;76,3;670;139;4;2;0;2;0;77;2;3;66,7;20;0;0;201920#
Jasmin Kurtic;SVN;MF;SPAL;30;1989;$ 3.500.000,00;186;Midfielder - Central Midfield;right;Serie A;16;16;1409;2;0;0;0;0,13;0;0,13;0,13;0,13;47;10;5;21,3;3;0,64;0,04;0,2;679;75,6;9452;2617;20;2;0;18;9;880;27;39;69,2;20;0;0;201920#
Simone Missiroli;ITA;MF;SPAL;33;1986;$ 1.000.000,00;191;Midfielder - Defensive Midfield;right;Serie A;34;31;2798;1;0;0;0;0,03;0;0,03;0,03;0,03;13;3;0;23,1;0,42;0,1;0,08;0,33;1462;84,8;21735;6204;52;23;2;29;37;1746;25;33;75,8;20;0;0;201920#
Gabriele Moncini;ITA;FW,MF;SPAL;23;1996;$ 1.000.000,00;183;Forward - Centre-Forward;right;Serie A;4;2;154;0;0;0;0;0;0;0;0;0;3;0;0;0;1,75;0;0;0;19;73,7;160;24;2;1;0;1;0;36;0;0;0;20;0;0;201920#
Alessandro Murgia;ITA;MF;SPAL;22;1996;$ 2.000.000,00;185;Midfielder - Central Midfield;right;Serie A;25;19;1750;0;1;0;0;0;0,05;0,05;0;0,05;25;7;7;28;1,29;0,36;0;0;849;83,4;11962;3485;20;3;0;17;15;1009;13;17;76,5;20;0;0;201920#
Alberto Paloschi;ITA;FW;SPAL;29;1990;$ 1.000.000,00;183;Forward - Centre-Forward;right;Serie A;10;5;438;0;0;0;0;0;0;0;0;0;10;1;0;10;2,05;0,21;0;0;67;74,6;678;79;4;0;0;4;0;116;4;5;80;20;0;0;201920#
Andrea Petagna;ITA;FW;SPAL;24;1995;$ 14.000.000,00;190;Forward - Centre-Forward;left;Serie A;36;33;3032;12;1;5;7;0,36;0,03;0,39;0,21;0,24;104;25;2;24;3,09;0,74;0,07;0,28;876;73,5;11751;1965;19;8;0;11;2;1320;57;90;63,3;20;0;0;201920#
Arkadiusz Reca;POL;DF;SPAL;24;1995;$ 2.000.000,00;187;Midfielder - Left Midfield;left;Serie A;25;22;1928;0;2;0;0;0;0,09;0,09;0;0,09;19;5;0;26,3;0,89;0,23;0;0;971;73,5;12176;5292;23;2;0;21;17;1193;30;57;52,6;20;0;0;201920#
Jacopo Sala;ITA;DF;SPAL;27;1991;$ 1.000.000,00;181;Defender - Right-Back;right;Serie A;16;9;853;0;0;0;0;0;0;0;0;0;14;2;0;14,3;1,48;0,21;0;0;471;79,2;6291;2082;19;0;0;19;2;576;9;17;52,9;20;0;0;201920#
Bartosz Salamon;POL;DF;SPAL;28;1991;$ 40.000,00;194;Defender - Centre-Back;right;Serie A;7;3;344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;89,8;3164;1326;7;4;0;3;4;180;0;0;0;20;0;0;201920#
Nenad Tomovic;SRB;DF;SPAL;31;1987;$ 47.500,00;184;Defender - Centre-Back;right;Serie A;23;20;1755;0;1;0;0;0;0,05;0,05;0;0,05;10;3;0;30;0,51;0,15;0;0;933;84,5;14529;5899;45;26;0;19;24;1132;4;7;57,1;20;0;0;201920#
Georgi Tunjov;EST;MF;SPAL;18;2001;$ 35.000,00;186;Midfielder - Central Midfield;left;Serie A;10;3;284;0;0;0;0;0;0;0;0;0;6;0;2;0;1,9;0;0;0;107;72;1253;454;4;1;0;3;2;144;3;5;60;20;0;0;201920#
Mirko Valdifiori;ITA;MF;SPAL;33;1986;$ 40.000,00;185;Midfielder - Defensive Midfield;right;Serie A;22;15;1400;0;3;0;0;0;0,19;0,19;0;0,19;4;2;0;50;0,26;0,13;0;0;901;82,2;15349;5177;13;4;0;9;4;998;6;8;75;20;0;0;201920#
Mattia Valoti;ITA;MF,FW;SPAL;25;1993;$ 80.000,00;181;Midfielder - Central Midfield;right;Serie A;27;18;1527;3;1;0;0;0,18;0,06;0,24;0,18;0,24;29;11;0;37,9;1,71;0,65;0,1;0,27;580;79,3;7730;1967;31;5;0;26;19;823;31;41;75,6;20;0;0;201920#
Francesco Vicari;ITA;DF;SPAL;24;1994;$ 4.000.000,00;190;Defender - Centre-Back;right;Serie A;34;33;2898;0;0;0;0;0;0;0;0;0;9;2;0;22,2;0,28;0,06;0;0;1264;87,1;25812;8422;68;42;2;26;17;1574;1;2;50;20;0;0;201920#
Ludovic Ajorque;REU;FW;Strasbourg;25;1994;$ 6.000.000,00;197;Forward - Centre-Forward;left;Ligue 1;26;24;2058;8;4;1;1;0,35;0,17;0,52;0,31;0,48;44;18;0;40,9;1,92;0,79;0,16;0,39;509;72,9;5861;927;11;2;0;9;3;755;14;27;51,9;10;0;0;201920#
Jean-Ricner Bellegarde;FRA;MF;Strasbourg;21;1998;$ 3.000.000,00;170;Midfielder - Central Midfield;right;Ligue 1;24;16;1497;0;0;0;0;0;0;0;0;0;18;5;0;27,8;1,08;0,3;0;0;700;86,3;12345;2165;20;2;0;18;20;920;32;50;64;10;0;0;201920#
Anthony Caci;FRA;DF;Strasbourg;22;1997;$ 3.000.000,00;184;Defender - Left-Back;right;Ligue 1;8;8;691;1;4;0;0;0,13;0,52;0,65;0,13;0,65;4;3;0;75;0,52;0,39;0,25;0,33;520;80;8754;4020;27;5;1;22;15;624;4;10;40;10;0;0;201920#
Lionel Carole;FRA;DF;Strasbourg;28;1991;$ 2.000.000,00;182;Defender - Left-Back;left;Ligue 1;18;14;1272;0;0;0;0;0;0;0;0;0;5;0;0;0;0,35;0;0;0;797;78,2;12767;5552;16;2;0;14;13;918;16;24;66,7;10;0;0;201920#
Benjamin Corgnet;FRA;MF;Strasbourg;32;1987;$ 40.000,00;179;Midfielder - Attacking Midfield;right;Ligue 1;6;3;261;0;0;0;0;0;0;0;0;0;4;1;0;25;1,38;0,34;0;0;80;56,3;728;269;2;0;0;2;1;105;1;5;20;10;0;0;201920#
Nuno da Costa;CPV;FW,MF;Strasbourg;28;1991;$ 1.000.000,00;182;Forward - Centre-Forward;right;Ligue 1;14;4;527;1;0;0;0;0,17;0;0,17;0,17;0,17;19;7;0;36,8;3,24;1,2;0,05;0,14;152;63,8;1384;304;12;1;0;11;5;255;18;28;64,3;10;0;0;201920#
Alexander Djiku;GHA;DF,MF;Strasbourg;24;1994;$ 6.000.000,00;182;Defender - Centre-Back;right;Ligue 1;25;23;2064;1;1;0;0;0,04;0,04;0,09;0,04;0,09;20;6;0;30;0,87;0,26;0,05;0,17;1198;89;23935;7813;30;10;0;20;38;1503;13;17;76,5;10;0;0;201920#
Youssouf Fofana;FRA;MF;Strasbourg;20;1999;$ 11.000.000,00;176;Midfielder - Central Midfield;right;Ligue 1;13;12;1008;1;0;0;0;0,09;0;0,09;0,09;0,09;7;2;0;28,6;1,03;0,3;0;0;357;85,7;6096;1508;16;3;0;13;6;579;11;20;55;10;0;0;201920#
JÈrÈmy Grimm;FRA;FW;Strasbourg;32;1987;$ 25.000,00;181;Midfielder - Defensive Midfield;right;Ligue 1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;201920#
Lamine KonÈ;CIV;DF;Strasbourg;30;1989;$ 2.000.000,00;189;Defender - Centre-Back;right;Ligue 1;18;17;1473;1;0;0;0;0,06;0;0,06;0,06;0,06;8;2;0;25;0,49;0,12;0,13;0,5;736;81,8;13848;4316;21;7;0;14;20;878;6;7;85,7;10;0;0;201920#
Kenny Lala;FRA;DF;Strasbourg;27;1991;$ 9.000.000,00;178;Defender - Right-Back;right;Ligue 1;25;22;2043;2;1;2;2;0,09;0,04;0,13;0;0,04;16;5;4;31,3;0,7;0,22;0;0;1348;75;23512;8329;27;4;1;23;17;1578;43;66;65,2;10;0;0;201920#
Dimitri LiÈnard;FRA;MF;Strasbourg;31;1988;$ 1.000.000,00;184;Midfielder - Central Midfield;left;Ligue 1;22;16;1489;2;3;0;0;0,12;0,18;0,3;0,12;0,3;34;10;7;29,4;2,06;0,6;0,06;0,2;1038;78;18853;4513;26;3;0;23;21;1214;15;25;60;10;0;0;201920#
Abdul Majeed Waris;GHA;FW;Strasbourg;27;1991;$ 2.500.000,00;172;Forward - Centre-Forward;right;Ligue 1;7;4;371;2;1;0;0;0,49;0,24;0,73;0,49;0,73;7;2;0;28,6;1,7;0,49;0,29;1;89;73;837;240;3;0;0;3;4;157;9;20;45;10;0;0;201920#
Jonas Martin;FRA;MF;Strasbourg;29;1990;$ 2.000.000,00;184;Midfielder - Central Midfield;right;Ligue 1;3;3;247;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;192;88,5;3329;714;3;0;0;3;1;215;3;3;100;10;0;0;201920#
Stefan Mitrovic;SRB;DF;Strasbourg;29;1990;$ 2.500.000,00;189;Defender - Centre-Back;both;Ligue 1;23;23;2053;1;1;0;0;0,04;0,04;0,09;0,04;0,09;4;2;0;50;0,18;0,09;0,25;0,5;940;90,6;19689;5241;34;11;0;23;10;1132;0;0;0;10;0;0;201920#
Lebo Mothiba;RSA;FW;Strasbourg;23;1996;$ 4.000.000,00;182;Forward - Centre-Forward;right;Ligue 1;21;12;1047;3;3;0;0;0,26;0,26;0,52;0,26;0,52;27;11;1;40,7;2,32;0,95;0,11;0,27;248;82,3;2930;390;12;1;0;11;4;364;20;25;80;10;0;0;201920#
Abdallah N'dour;SEN;DF;Strasbourg;25;1993;$ 600,00;186;Defender - Left-Back;left;Ligue 1;6;4;373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209;73,7;3093;1469;8;1;0;7;4;246;1;3;33,3;10;0;0;201920#
Mohamed Simakan;FRA;DF;Strasbourg;19;2000;$ 7.000.000,00;187;Defender - Centre-Back;right;Ligue 1;19;17;1503;0;0;0;0;0;0;0;0;0;10;3;0;30;0,6;0,18;0;0;860;80,1;14975;5268;30;6;0;24;24;1070;21;30;70;10;0;0;201920#
