player;nationality;position;squad;age;birth_year;value;height;position2;foot;league;games;games_starts;minutes;goals;assists;pens_made;pens_att;goals_per90;assists_per90;goals_assists_per90;goals_pens_per90;goals_assists_pens_per90;shots_total;shots_on_target;shots_free_kicks;shots_on_target_pct;shots_total_per90;shots_on_target_per90;goals_per_shot;goals_per_shot_on_target;passes;passes_pct;passes_total_distance;passes_progressive_distance;blocks;blocked_shots;blocked_shots_saves;blocked_passes;interceptions;touches;dribbles_completed;dribbles;dribbles_completed_pct;LigaRk;CL;WinCL;Season
Mattia Caldara;ITA;DF;Atalanta;25;1994;$ 11.000.000,00;187;Defender - Centre-Back;right;Serie A;14;11;959;0;1;0;0;0;0,09;0,09;0;0,09;4;0;0;0;0,38;0;0;0;424;89,9;7708;1584;16;7;0;9;14;531;2;2;100;3;1;0;201920#
Timothy Castagne;BEL;DF;Atalanta;23;1995;$ 16.000.000,00;180;Defender - Right-Back;right;Serie A;27;19;1769;1;2;0;0;0,05;0,1;0,15;0,05;0,15;17;4;0;23,5;0,86;0,2;0,06;0,25;1133;84;14491;5037;49;5;0;44;12;1322;14;25;56;3;1;0;201920#
Ebrima Colley;GAM;FW;Atalanta;19;2000;$ 80.000,00;179;Forward - Left Winger;right;Serie A;5;0;82;0;1;0;0;0;1,1;1,1;0;1,1;5;2;0;40;5,49;2,2;0;0;42;88,1;508;92;2;0;0;2;1;68;4;5;80;3;1;0;201920#
Jacopo Da Riva;ITA;FW;Atalanta;18;2000;$ 20.000,00;187;Midfielder - Central Midfield;both;Serie A;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;100;24;9;0;0;0;0;0;2;0;0;0;3;1;0;201920#
Berat Djimsiti;ALB;DF;Atalanta;26;1993;$ 12.000.000,00;190;Defender - Centre-Back;right;Serie A;34;32;2783;2;1;0;0;0,06;0,03;0,1;0,06;0,1;22;3;0;13,6;0,71;0,1;0,09;0,67;1834;87,9;29384;9046;38;17;0;21;31;2162;13;17;76,5;3;1;0;201920#
Remo Freuler;SUI;MF;Atalanta;27;1992;$ 20.000.000,00;180;Midfielder - Central Midfield;right;Serie A;31;28;2337;2;2;0;0;0,08;0,08;0,15;0,08;0,15;19;7;0;36,8;0,73;0,27;0,11;0,29;1666;87,9;24942;6336;60;6;0;54;21;1941;21;37;56,8;3;1;0;201920#
Papu Gamez;ARG;MF,FW;Atalanta;31;1988;$ 15.000.000,00;165;Forward - Second Striker;right;Serie A;36;34;2842;7;16;0;0;0,22;0,51;0,73;0,22;0,73;96;41;2;42,7;3,04;1,3;0,07;0,17;2012;79,4;29825;8826;35;0;0;35;10;2405;75;122;61,5;3;1;0;201920#
Robin Gosens;GER;DF;Atalanta;25;1994;$ 20.000.000,00;183;Defender - Left-Back;left;Serie A;34;31;2617;9;7;0;0;0,31;0,24;0,55;0,31;0,55;52;20;0;38,5;1,79;0,69;0,17;0,45;1503;78,4;19069;7355;56;11;0;45;17;1840;16;46;34,8;3;1;0;201920#
Hans Hateboer;NED;DF;Atalanta;25;1994;$ 12.000.000,00;185;Defender - Right-Back;right;Serie A;32;25;2356;0;4;0;0;0;0,15;0,15;0;0,15;19;3;0;15,8;0,73;0,11;0;0;1438;84,8;18263;6090;42;6;1;36;9;1677;10;25;40;3;1;0;201920#
Josip Ilicic;SVN;FW;Atalanta;31;1988;$ 15.000.000,00;190;Forward - Second Striker;left;Serie A;26;21;1663;15;5;0;0;0,81;0,27;1,08;0,81;1,08;81;36;6;44,4;4,38;1,95;0,19;0,42;964;80,2;13734;3922;19;0;0;19;7;1306;63;109;57,8;3;1;0;201920#
